ID	Gene Name	Species	REACTOME_PATHWAY
CD3D	CD3 delta subunit of T-cell receptor complex(CD3D)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-199991~Membrane Trafficking,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-202427~Phosphorylation of CD3 and TCR zeta chains,R-HSA-202430~Translocation of ZAP-70 to Immunological synapse,R-HSA-202433~Generation of second messenger molecules,R-HSA-388841~Costimulation by the CD28 family,R-HSA-389948~PD-1 signaling,R-HSA-5653656~Vesicle-mediated transport,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,
CD3E	CD3 epsilon subunit of T-cell receptor complex(CD3E)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-202427~Phosphorylation of CD3 and TCR zeta chains,R-HSA-202430~Translocation of ZAP-70 to Immunological synapse,R-HSA-202433~Generation of second messenger molecules,R-HSA-388841~Costimulation by the CD28 family,R-HSA-389948~PD-1 signaling,
CD3G	CD3 gamma subunit of T-cell receptor complex(CD3G)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-199991~Membrane Trafficking,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-202427~Phosphorylation of CD3 and TCR zeta chains,R-HSA-202430~Translocation of ZAP-70 to Immunological synapse,R-HSA-202433~Generation of second messenger molecules,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029481~FCGR activation,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-2029485~Role of phospholipids in phagocytosis,R-HSA-388841~Costimulation by the CD28 family,R-HSA-389948~PD-1 signaling,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-9658195~Leishmania infection,R-HSA-9662851~Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9664323~FCGR3A-mediated IL10 synthesis,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9664433~Leishmania parasite growth and survival,R-HSA-9824443~Parasitic Infection Pathways,
CD48	CD48 molecule(CD48)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-202733~Cell surface interactions at the vascular wall,
CD52	CD52 molecule(CD52)	Homo sapiens	R-HSA-163125~Post-translational modification: synthesis of GPI-anchored proteins,R-HSA-392499~Metabolism of proteins,R-HSA-597592~Post-translational protein modification,
CD59	CD59 molecule (CD59 blood group)(CD59)	Homo sapiens	R-HSA-166658~Complement cascade,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-199977~ER to Golgi Anterograde Transport,R-HSA-199991~Membrane Trafficking,R-HSA-204005~COPII-mediated vesicle transport,R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5694530~Cargo concentration in the ER,R-HSA-597592~Post-translational protein modification,R-HSA-6798695~Neutrophil degranulation,R-HSA-6807878~COPI-mediated anterograde transport,R-HSA-948021~Transport to the Golgi and subsequent modification,R-HSA-977606~Regulation of Complement cascade,
CD74	CD74 molecule(CD74)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-202733~Cell surface interactions at the vascular wall,R-HSA-2132295~MHC class II antigen presentation,
CD96	CD96 molecule(CD96)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,
CDC42EP3	CDC42 effector protein 3(CDC42EP3)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-194315~Signaling by Rho GTPases,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5687128~MAPK6/MAPK4 signaling,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013148~CDC42 GTPase cycle,R-HSA-9013406~RHOQ GTPase cycle,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
COPS3	COP9 signalosome subunit 3(COPS3)	Homo sapiens	R-HSA-199991~Membrane Trafficking,R-HSA-392499~Metabolism of proteins,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5696394~DNA Damage Recognition in GG-NER,R-HSA-5696398~Nucleotide Excision Repair,R-HSA-5696399~Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-597592~Post-translational protein modification,R-HSA-6781823~Formation of TC-NER Pre-Incision Complex,R-HSA-6781827~Transcription-Coupled Nucleotide Excision Repair (TC-NER),R-HSA-73894~DNA Repair,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8951664~Neddylation,
COPS5	COP9 signalosome subunit 5(COPS5)	Homo sapiens	R-HSA-199991~Membrane Trafficking,R-HSA-392499~Metabolism of proteins,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5696394~DNA Damage Recognition in GG-NER,R-HSA-5696398~Nucleotide Excision Repair,R-HSA-5696399~Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-597592~Post-translational protein modification,R-HSA-6781823~Formation of TC-NER Pre-Incision Complex,R-HSA-6781827~Transcription-Coupled Nucleotide Excision Repair (TC-NER),R-HSA-73894~DNA Repair,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8951664~Neddylation,
COPB2	COPI coat complex subunit beta 2(COPB2)	Homo sapiens	R-HSA-199977~ER to Golgi Anterograde Transport,R-HSA-199991~Membrane Trafficking,R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-5653656~Vesicle-mediated transport,R-HSA-597592~Post-translational protein modification,R-HSA-6807878~COPI-mediated anterograde transport,R-HSA-6811434~COPI-dependent Golgi-to-ER retrograde traffic,R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-8856688~Golgi-to-ER retrograde transport,R-HSA-948021~Transport to the Golgi and subsequent modification,
CREBBP	CREB binding protein(CREBBP)	Homo sapiens	R-HSA-1234158~Regulation of gene expression by Hypoxia-inducible Factor,R-HSA-1234174~Cellular response to hypoxia,R-HSA-1266738~Developmental Biology,R-HSA-1368082~RORA activates gene expression,R-HSA-1368108~BMAL1:CLOCK,NPAS2 activates circadian gene expression,R-HSA-1430728~Metabolism,R-HSA-157118~Signaling by NOTCH,R-HSA-1592230~Mitochondrial biogenesis,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-1655829~Regulation of cholesterol biosynthesis by SREBP (SREBF),R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168928~DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-1834949~Cytosolic sensors of pathogen-associated DNA ,R-HSA-1852241~Organelle biogenesis and maintenance,R-HSA-186712~Regulation of beta-cell development,R-HSA-1912408~Pre-NOTCH Transcription and Translation,R-HSA-1912422~Pre-NOTCH Expression and Processing,R-HSA-195721~Signaling by WNT,R-HSA-1980143~Signaling by NOTCH1,R-HSA-1989781~PPARA activates gene expression,R-HSA-201681~TCF dependent signaling in response to WNT,R-HSA-201722~Formation of the beta-catenin:TCF transactivating complex,R-HSA-210744~Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,R-HSA-2122947~NOTCH1 Intracellular Domain Regulates Transcription,R-HSA-212436~Generic Transcription Pathway,R-HSA-2151201~Transcriptional activation of mitochondrial biogenesis,R-HSA-2262752~Cellular responses to stress,R-HSA-2426168~Activation of gene expression by SREBF (SREBP),R-HSA-2644602~Signaling by NOTCH1 PEST Domain Mutants in Cancer,R-HSA-2644603~Signaling by NOTCH1 in Cancer,R-HSA-2644606~Constitutive Signaling by NOTCH1 PEST Domain Mutants,R-HSA-2894858~Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,R-HSA-2894862~Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,R-HSA-2990846~SUMOylation,R-HSA-3108232~SUMO E3 ligases SUMOylate target proteins,R-HSA-3134973~LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,R-HSA-3214847~HATs acetylate histones,R-HSA-3247509~Chromatin modifying enzymes,R-HSA-3371556~Cellular response to heat stress,R-HSA-3371568~Attenuation phase,R-HSA-3371571~HSF1-dependent transactivation,R-HSA-350054~Notch-HLH transcription pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-381340~Transcriptional regulation of white adipocyte differentiation,R-HSA-3899300~SUMOylation of transcription cofactors,R-HSA-392499~Metabolism of proteins,R-HSA-400206~Regulation of lipid metabolism by PPARalpha,R-HSA-400253~Circadian Clock,R-HSA-4839726~Chromatin organization,R-HSA-556833~Metabolism of lipids,R-HSA-5617472~Activation of anterior HOX genes in hindbrain development during early embryogenesis,R-HSA-5619507~Activation of HOX genes during differentiation,R-HSA-5621481~C-type lectin receptors (CLRs),R-HSA-5621575~CD209 (DC-SIGN) signaling,R-HSA-5633008~TP53 Regulates Transcription of Cell Death Genes,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-5663205~Infectious disease,R-HSA-597592~Post-translational protein modification,R-HSA-6803204~TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8864260~Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,R-HSA-8866907~Activation of the TFAP2 (AP-2) family of transcription factors,R-HSA-8878159~Transcriptional regulation by RUNX3,R-HSA-8878171~Transcriptional regulation by RUNX1,R-HSA-8939211~ESR-mediated signaling,R-HSA-8939246~RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,R-HSA-8941856~RUNX3 regulates NOTCH signaling,R-HSA-8953897~Cellular responses to stimuli,R-HSA-8957322~Metabolism of steroids,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9012852~Signaling by NOTCH3,R-HSA-9013508~NOTCH3 Intracellular Domain Regulates Transcription,R-HSA-9013694~Signaling by NOTCH4,R-HSA-9013695~NOTCH4 Intracellular Domain Regulates Transcription,R-HSA-9018519~Estrogen-dependent gene expression,R-HSA-918233~TRAF3-dependent IRF activation pathway,R-HSA-933541~TRAF6 mediated IRF7 activation,R-HSA-9614085~FOXO-mediated transcription,R-HSA-9614657~FOXO-mediated transcription of cell death genes,R-HSA-9617629~Regulation of FOXO transcriptional activity by acetylation,R-HSA-9634815~Transcriptional Regulation by NPAS4,R-HSA-9679506~SARS-CoV Infections,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9705671~SARS-CoV-2 activates/modulates innate and adaptive immune responses,R-HSA-9705683~SARS-CoV-2-host interactions,R-HSA-9707564~Cytoprotection by HMOX1,R-HSA-9707616~Heme signaling,R-HSA-9711123~Cellular response to chemical stress,R-HSA-9755511~KEAP1-NFE2L2 pathway,R-HSA-9758941~Gastrulation,R-HSA-9759194~Nuclear events mediated by NFE2L2,R-HSA-9768919~NPAS4 regulates expression of target genes,R-HSA-9793380~Formation of paraxial mesoderm,R-HSA-9816359~Maternal to zygotic transition (MZT),R-HSA-9818026~NFE2L2 regulating inflammation associated genes,R-HSA-9818027~NFE2L2 regulating anti-oxidant/detoxification enzymes,R-HSA-9818028~NFE2L2 regulates pentose phosphate pathway genes,R-HSA-9818030~NFE2L2 regulating tumorigenic genes,R-HSA-9818032~NFE2L2 regulating MDR associated enzymes,R-HSA-9818035~NFE2L2 regulating ER-stress associated genes,R-HSA-9818749~Regulation of NFE2L2 gene expression,R-HSA-9819196~Zygotic genome activation (ZGA),R-HSA-9820952~Respiratory Syncytial Virus Infection Pathway,R-HSA-9824446~Viral Infection Pathways,R-HSA-9833109~Evasion by RSV of host interferon responses,R-HSA-9833110~RSV-host interactions,
CTDNEP1	CTD nuclear envelope phosphatase 1(CTDNEP1)	Homo sapiens	R-HSA-1640170~Cell Cycle,R-HSA-2980766~Nuclear Envelope Breakdown,R-HSA-4419969~Depolymerization of the Nuclear Lamina,R-HSA-68875~Mitotic Prophase,R-HSA-68886~M Phase,R-HSA-69278~Cell Cycle, Mitotic,
CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component(CTR9)	Homo sapiens	R-HSA-112382~Formation of RNA Pol II elongation complex ,R-HSA-392499~Metabolism of proteins,R-HSA-597592~Post-translational protein modification,R-HSA-674695~RNA Polymerase II Pre-transcription Events,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-75955~RNA Polymerase II Transcription Elongation,R-HSA-8852135~Protein ubiquitination,R-HSA-8866654~E3 ubiquitin ligases ubiquitinate target proteins,
CWC22	CWC22 spliceosome associated protein homolog(CWC22)	Homo sapiens	R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8953854~Metabolism of RNA,
CXXC1	CXXC finger protein 1(CXXC1)	Homo sapiens	R-HSA-212165~Epigenetic regulation of gene expression,R-HSA-2262752~Cellular responses to stress,R-HSA-381038~XBP1(S) activates chaperone genes,R-HSA-381070~IRE1alpha activates chaperones,R-HSA-381119~Unfolded Protein Response (UPR),R-HSA-74160~Gene expression (Transcription),R-HSA-8953897~Cellular responses to stimuli,R-HSA-9772755~Formation of WDR5-containing histone-modifying complexes,
DCAF13	DDB1 and CUL4 associated factor 13(DCAF13)	Homo sapiens	R-HSA-392499~Metabolism of proteins,R-HSA-597592~Post-translational protein modification,R-HSA-6790901~rRNA modification in the nucleus and cytosol,R-HSA-6791226~Major pathway of rRNA processing in the nucleolus and cytosol,R-HSA-72312~rRNA processing,R-HSA-8868773~rRNA processing in the nucleus and cytosol,R-HSA-8951664~Neddylation,R-HSA-8953854~Metabolism of RNA,
DDX23	DEAD-box helicase 23(DDX23)	Homo sapiens	R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72165~mRNA Splicing - Minor Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8953854~Metabolism of RNA,
DDX6	DEAD-box helicase 6(DDX6)	Homo sapiens	R-HSA-429914~Deadenylation-dependent mRNA decay,R-HSA-430039~mRNA decay by 5' to 3' exoribonuclease,R-HSA-8953854~Metabolism of RNA,
DEK	DEK proto-oncogene(DEK)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-212165~Epigenetic regulation of gene expression,R-HSA-212436~Generic Transcription Pathway,R-HSA-5250913~Positive epigenetic regulation of rRNA expression,R-HSA-5250924~B-WICH complex positively regulates rRNA expression,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8864260~Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,R-HSA-9616222~Transcriptional regulation of granulopoiesis,
DDX21	DExD-box helicase 21(DDX21)	Homo sapiens	R-HSA-212165~Epigenetic regulation of gene expression,R-HSA-5250913~Positive epigenetic regulation of rRNA expression,R-HSA-5250924~B-WICH complex positively regulates rRNA expression,R-HSA-6791226~Major pathway of rRNA processing in the nucleolus and cytosol,R-HSA-72312~rRNA processing,R-HSA-74160~Gene expression (Transcription),R-HSA-8868773~rRNA processing in the nucleus and cytosol,R-HSA-8953854~Metabolism of RNA,
DDIT4	DNA damage inducible transcript 4(DDIT4)	Homo sapiens	R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-5628897~TP53 Regulates Metabolic Genes,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3(DNAJC3)	Homo sapiens	R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168255~Influenza Infection,R-HSA-168256~Immune System,R-HSA-168273~Influenza Viral RNA Transcription and Replication,R-HSA-192823~Viral mRNA Translation,R-HSA-2262752~Cellular responses to stress,R-HSA-381038~XBP1(S) activates chaperone genes,R-HSA-381070~IRE1alpha activates chaperones,R-HSA-381119~Unfolded Protein Response (UPR),R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-392499~Metabolism of proteins,R-HSA-5663205~Infectious disease,R-HSA-597592~Post-translational protein modification,R-HSA-6798695~Neutrophil degranulation,R-HSA-8953897~Cellular responses to stimuli,R-HSA-8957275~Post-translational protein phosphorylation,R-HSA-913531~Interferon Signaling,R-HSA-9824446~Viral Infection Pathways,R-HSA-9833482~PKR-mediated signaling,
DNAJC7	DnaJ heat shock protein family (Hsp40) member C7(DNAJC7)	Homo sapiens	R-HSA-2262752~Cellular responses to stress,R-HSA-3371453~Regulation of HSF1-mediated heat shock response,R-HSA-3371556~Cellular response to heat stress,R-HSA-8953897~Cellular responses to stimuli,
EBNA1BP2	EBNA1 binding protein 2(EBNA1BP2)	Homo sapiens	R-HSA-6791226~Major pathway of rRNA processing in the nucleolus and cytosol,R-HSA-72312~rRNA processing,R-HSA-8868773~rRNA processing in the nucleus and cytosol,R-HSA-8953854~Metabolism of RNA,
ELAVL1	ELAV like RNA binding protein 1(ELAVL1)	Homo sapiens	R-HSA-450520~HuR (ELAVL1) binds and stabilizes mRNA,R-HSA-450531~Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-8953854~Metabolism of RNA,
ELOVL1	ELOVL fatty acid elongase 1(ELOVL1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-2046104~alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,R-HSA-2046105~Linoleic acid (LA) metabolism,R-HSA-2046106~alpha-linolenic acid (ALA) metabolism,R-HSA-556833~Metabolism of lipids,R-HSA-75105~Fatty acyl-CoA biosynthesis,R-HSA-75876~Synthesis of very long-chain fatty acyl-CoAs,R-HSA-8978868~Fatty acid metabolism,
EML4	EMAP like 4(EML4)	Homo sapiens	R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-68877~Mitotic Prometaphase,R-HSA-68886~M Phase,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-9648025~EML4 and NUDC in mitotic spindle formation,R-HSA-9700206~Signaling by ALK in cancer,R-HSA-9700645~ALK mutants bind TKIs,R-HSA-9725370~Signaling by ALK fusions and activated point mutants,
EDEM3	ER degradation enhancing alpha-mannosidase like protein 3(EDEM3)	Homo sapiens	R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-532668~N-glycan trimming in the ER and Calnexin/Calreticulin cycle,R-HSA-597592~Post-translational protein modification,R-HSA-901032~ER Quality Control Compartment (ERQC),R-HSA-901042~Calnexin/calreticulin cycle,
FBXW11	F-box and WD repeat domain containing 11(FBXW11)	Homo sapiens	R-HSA-1168372~Downstream signaling events of B Cell Receptor (BCR),R-HSA-1169091~Activation of NF-kappaB in B cells,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-1640170~Cell Cycle,R-HSA-166016~Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166058~MyD88:MAL(TIRAP) cascade initiated on plasma membrane,R-HSA-166166~MyD88-independent TLR4 cascade ,R-HSA-168138~Toll Like Receptor 9 (TLR9) Cascade,R-HSA-168142~Toll Like Receptor 10 (TLR10) Cascade,R-HSA-168164~Toll Like Receptor 3 (TLR3) Cascade,R-HSA-168176~Toll Like Receptor 5 (TLR5) Cascade,R-HSA-168179~Toll Like Receptor TLR1:TLR2 Cascade,R-HSA-168181~Toll Like Receptor 7/8 (TLR7/8) Cascade,R-HSA-168188~Toll Like Receptor TLR6:TLR2 Cascade,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168898~Toll-like Receptor Cascades,R-HSA-181438~Toll Like Receptor 2 (TLR2) Cascade,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-2454202~Fc epsilon receptor (FCERI) signaling,R-HSA-2565942~Regulation of PLK1 Activity at G2/M Transition,R-HSA-2871837~FCERI mediated NF-kB activation,R-HSA-392499~Metabolism of proteins,R-HSA-446652~Interleukin-1 family signaling,R-HSA-448424~Interleukin-17 signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-450294~MAP kinase activation,R-HSA-453274~Mitotic G2-G2/M phases,R-HSA-5607761~Dectin-1 mediated noncanonical NF-kB signaling,R-HSA-5607764~CLEC7A (Dectin-1) signaling,R-HSA-5621481~C-type lectin receptors (CLRs),R-HSA-5668541~TNFR2 non-canonical NF-kB pathway,R-HSA-5676590~NIK-->noncanonical NF-kB signaling,R-HSA-5684264~MAP3K8 (TPL2)-dependent MAPK1/3 activation,R-HSA-597592~Post-translational protein modification,R-HSA-69275~G2/M Transition,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-8951664~Neddylation,R-HSA-9020702~Interleukin-1 signaling,R-HSA-937061~TRIF(TICAM1)-mediated TLR4 signaling ,R-HSA-975138~TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-975155~MyD88 dependent cascade initiated on endosome,R-HSA-975871~MyD88 cascade initiated on plasma membrane,R-HSA-983168~Antigen processing: Ubiquitination & Proteasome degradation,R-HSA-983169~Class I MHC mediated antigen processing & presentation,R-HSA-983705~Signaling by the B Cell Receptor (BCR),
